Fecha,Precio,Diferencia_precio,Dia_semana,Dia_mes,Precio_ayer
1995-10-07,16.583333333333332,1.1874999999999982,5,7,15.395833333333334
1995-10-08,16.270833333333332,-0.3125,6,8,16.583333333333332
1995-10-09,19.33333333333333,3.0624999999999964,0,9,16.270833333333332
1995-10-10,17.206500000000002,-2.1268333333333267,1,10,19.33333333333333
1995-10-11,18.287125,1.0806249999999977,2,11,17.206500000000002
1995-10-12,8.965833333333334,-9.321291666666665,3,12,18.287125
1995-10-13,4.850458333333333,-4.115375000000001,4,13,8.965833333333334
1995-10-14,1.8677083333333333,-2.98275,5,14,4.850458333333333
1995-10-15,1.0738333333333334,-0.7938749999999999,6,15,1.8677083333333333
1995-10-16,1.1896666666666669,0.11583333333333345,0,16,1.0738333333333334
1995-10-17,2.913,1.723333333333333,1,17,1.1896666666666669
